state,year,dopen,population,presdemvoteshlag1,demmv,demvoteshlag1,demvoteshlag2,demvoteshfor1,demvoteshfor2,demwinprv1,demwinprv2,dmidterm,dpresdem
"Connecticut",1986,0,3223740,38.83596,29.91577,46.06758,56.34152,49.76444,58.81202,0,1,1,0
"Connecticut",1988,0,3271953,38.83596,.7260472,64.7634,46.06758,58.81202,67.04327,1,0,0,0
"Connecticut",1992,0,3274997,46.87475,20.69308,49.76444,64.7634,67.04327,65.14609,1,1,0,0
"Connecticut",1994,0,3268346,42.21398,36.03056,58.81202,49.76444,65.14609,63.21411,1,1,1,0
"Connecticut",1998,0,3272563,52.83158,32.77793,67.04327,58.81202,63.21411,65.3606,1,1,1,0
"Connecticut",2000,0,3405650,52.83158,29.04265,65.14609,67.04327,65.3606,39.72964,1,1,0,0
"Connecticut",2004,0,3496094,55.90963,33.71217,63.21411,65.14609,39.72964,55.15842,1,1,0,0
"Connecticut",2006,0,3517460,54.31371,-10.91789,65.3606,63.21411,55.15842,,1,1,1,0
"Connecticut",2010,1,3574097,60.58883,11.94148,39.72964,65.3606,,,0,1,1,0
"Maine",1916,0,775000,39.42657,-6.852353,,,44.43225,42.49594,,,0,1
"Maine",1918,0,760000,46.97463,-11.13549,45.9819,,42.49594,39.57094,0,,1,1
"Maine",1922,0,778000,33.29123,-15.00811,44.43225,45.9819,39.57094,30.35897,0,0,1,0
"Maine",1928,0,797000,21.83442,-39.28205,39.57094,42.49594,39.05526,49.70908,0,0,0,0
"Maine",1930,1,800000,30.96461,-21.88948,30.35897,39.57094,49.70908,49.25391,0,0,1,0
"Maine",1934,0,829000,43.19303,-.4304647,39.05526,30.35897,49.25391,41.27341,0,0,1,1
"Maine",1936,0,840000,43.19303,-1.49219,49.70908,39.05526,41.27341,33.33094,0,0,0,1
"Maine",1940,1,849000,41.5766,-17.33413,49.25391,49.70908,33.33094,36.45366,0,0,0,1
"Maine",1942,0,839000,48.77135,-33.33812,41.27341,49.25391,36.45366,28.69979,0,0,1,1
"Maine",1946,0,832000,47.44635,-27.09269,33.33094,41.27341,28.69979,37.2583,0,0,1,1
"Maine",1948,1,878000,47.44635,-42.60042,36.45366,33.33094,37.2583,41.39211,0,0,0,1
"Maine",1952,1,915000,42.38696,-25.48339,28.69979,36.45366,41.39211,60.78196,0,0,0,1
"Maine",1954,0,927000,33.83254,-17.21579,37.2583,28.69979,60.78196,38.35118,0,0,1,0
"Maine",1958,0,944000,29.13456,21.56391,41.39211,37.2583,38.35118,66.61683,0,0,1,0
"Maine",1960,0,969000,29.13456,-23.29763,60.78196,41.39211,66.61683,41.05351,1,0,0,0
"Maine",1964,0,993000,42.95239,33.23365,38.35118,60.78196,41.05351,61.74088,0,1,0,1
"Maine",1966,0,999000,68.84202,-17.89298,66.61683,38.35118,61.74088,53.23159,1,0,1,1
"Maine",1970,0,993722,55.30468,23.48175,41.05351,66.61683,53.23159,60.20325,0,1,1,0
"Maine",1972,0,1034292,55.30468,6.463173,61.74088,41.05351,60.20325,33.9383,1,0,0,0
"Maine",1978,0,1113566,48.09407,-22.64748,60.20325,53.23159,60.86793,25.86588,1,1,1,1
"Maine",1984,0,1155635,42.25035,-47.47645,60.86793,33.9383,81.29552,38.64026,1,0,0,0
"Maine",1988,0,1203840,38.78104,62.59587,25.86588,60.86793,38.64026,36.35529,0,1,0,0
"Maine",1990,0,1231296,43.88354,-22.70026,81.29552,25.86588,36.35529,43.87543,1,0,1,0
"Maine",1994,1,1237687,38.7668,-23.88003,38.64026,81.29552,43.87543,31.0587,0,1,1,0
"Maine",1996,1,1241436,38.7668,-5.306068,36.35529,38.64026,31.0587,41.56435,0,0,0,0
"Maine",2000,0,1274779,51.62396,-37.8826,43.87543,36.35529,41.56435,20.58601,0,0,0,0
"Maine",2002,0,1295960,49.08602,-16.8713,31.0587,43.87543,20.58601,38.58344,0,0,1,0
"Maine",2006,0,1323619,53.57286,-53.42355,41.56435,31.0587,38.58344,,0,0,1,0
"Maine",2008,0,1330509,53.57286,-22.74754,20.58601,41.56435,,,0,0,0,0
"Massachusetts",1916,0,3726000,35.53035,-6.371194,,,49.65466,46.74743,,,0,1
"Massachusetts",1918,0,3695000,46.61052,4.592884,45.30724,,46.74743,48.60962,0,,1,1
"Massachusetts",1924,0,4102000,27.84407,-1.650029,46.74743,49.65466,53.6446,54.01156,0,1,0,0
"Massachusetts",1928,0,4217000,24.85498,8.163661,48.60962,46.74743,54.01156,59.38833,0,0,0,0
"Massachusetts",1930,1,4250000,50.24378,9.337995,53.6446,48.60962,59.38833,41.02077,1,0,1,0
"Massachusetts",1934,0,4305000,50.63862,22.01246,54.01156,53.6446,41.02077,55.63559,1,1,1,1
"Massachusetts",1936,1,4355000,50.63862,-7.508719,59.38833,54.01156,55.63559,46.60619,1,1,0,1
"Massachusetts",1940,0,4318000,51.22462,12.81066,41.02077,59.38833,46.60619,39.72172,0,1,0,1
"Massachusetts",1946,0,4494000,52.80331,-19.82693,46.60619,55.63559,46.4247,51.34601,0,1,1,1
"Massachusetts",1948,0,4674000,52.80331,-6.521893,39.72172,46.60619,51.34601,49.02489,0,0,0,1
"Massachusetts",1952,0,4650000,54.66102,2.996793,46.4247,39.72172,49.02489,73.19527,0,0,0,1
"Massachusetts",1954,0,4910000,45.46135,-1.516661,51.34601,46.4247,73.19527,43.45766,1,0,1,0
"Massachusetts",1960,0,5149000,40.37418,-12.7318,73.19527,49.02489,74.25978,38.73904,1,0,0,0
"Massachusetts",1964,0,5448000,60.22216,48.84214,43.45766,73.19527,38.73904,62.1436,0,1,0,1
"Massachusetts",1966,1,5535000,76.1866,-21.93616,74.25978,43.45766,62.1436,34.72756,1,0,1,1
"Massachusetts",1970,0,5689170,63.00919,25.15376,38.73904,74.25978,34.72756,69.30872,0,1,1,0
"Massachusetts",1972,0,5760302,63.00919,-28.79576,62.1436,38.73904,69.30872,55.05781,1,0,0,0
"Massachusetts",1976,0,5743672,54.1957,40.30162,34.72756,62.1436,55.05781,60.81109,0,1,0,0
"Massachusetts",1978,0,5736469,56.11158,10.20794,69.30872,34.72756,60.81109,55.05429,1,0,1,1
"Massachusetts",1982,0,5771222,41.74634,22.55184,55.05781,69.30872,55.05429,64.97305,1,1,1,0
"Massachusetts",1984,1,5840773,41.74634,10.12471,60.81109,55.05781,64.97305,57.06351,1,1,0,0
"Massachusetts",1988,0,5979982,48.43246,31.04402,55.05429,60.81109,57.06351,58.07486,1,1,0,0
"Massachusetts",1990,0,6018664,53.22897,14.19537,64.97305,55.05429,58.07486,52.20675,1,1,1,0
"Massachusetts",1994,0,6031352,47.54163,17.06477,57.06351,64.97305,52.20675,72.68906,1,1,1,0
"Massachusetts",1996,0,6085393,47.54163,7.492823,58.07486,57.06351,72.68906,80.02838,1,1,0,0
"Massachusetts",2000,0,6349364,61.4742,58.24026,52.20675,58.07486,80.02838,69.30247,1,1,0,0
"Massachusetts",2002,0,6417206,59.80379,60.05677,72.68906,52.20675,69.30247,65.85876,1,1,1,0
"Massachusetts",2008,0,6468967,61.93543,34.93132,69.30247,80.02838,,,1,1,0,0
"New Hampshire",1918,1,440000,49.12204,-7.121193,44.62516,,41.63252,40.2435,0,,1,1
"New Hampshire",1920,0,444000,49.12204,-16.09223,46.4394,44.62516,40.2435,37.6806,0,0,0,1
"New Hampshire",1924,0,457000,39.38728,-19.513,41.63252,46.4394,37.6806,41.89725,0,0,0,0
"New Hampshire",1926,0,463000,34.71588,-24.6388,40.2435,41.63252,41.89725,50.3456,0,0,1,0
"New Hampshire",1930,0,466000,41.02268,-15.97952,37.6806,40.2435,50.3456,47.66539,0,0,1,0
"New Hampshire",1932,0,474000,41.02268,1.07913,41.89725,37.6806,47.66539,45.7659,0,0,0,0
"New Hampshire",1936,1,481000,48.98793,-4.193995,50.3456,41.89725,45.7659,45.39465,1,0,0,1
"New Hampshire",1938,0,485000,49.72629,-8.468199,47.66539,50.3456,45.39465,49.06914,0,1,1,1
"New Hampshire",1942,0,481000,53.22085,-9.210693,45.7659,47.66539,49.06914,41.16681,0,0,1,1
"New Hampshire",1944,0,456000,53.22085,-1.861724,45.39465,45.7659,41.16681,38.029,0,0,0,1
"New Hampshire",1948,0,520000,52.11236,-16.97637,49.06914,45.39465,38.029,39.77978,0,0,0,1
"New Hampshire",1954,0,554000,39.07785,-20.44044,38.029,41.16681,35.92836,39.65432,0,0,1,0
"New Hampshire",1956,0,566000,39.07785,-28.14327,39.77978,38.029,39.65432,40.29063,0,0,0,0
"New Hampshire",1962,0,632000,46.58221,-19.41874,39.65432,35.92836,54.0276,40.704,0,0,1,1
"New Hampshire",1966,1,681000,63.63818,8.131963,40.29063,39.65432,40.704,56.88075,0,0,1,1
"New Hampshire",1972,0,781107,43.92529,13.76367,40.704,54.0276,49.65575,48.50462,0,1,0,0
"New Hampshire",1978,0,891520,43.47269,-2.198809,49.65575,56.88075,47.84701,40.95852,1,1,1,1
"New Hampshire",1980,1,920610,43.47269,-4.293713,48.50462,49.65575,40.95852,32.37135,0,1,0,1
"New Hampshire",1984,0,976864,28.35074,-17.78874,47.84701,48.50462,32.37135,31.39494,0,0,0,0
"New Hampshire",1986,0,1025053,30.94517,-30.58986,40.95852,47.84701,31.39494,45.32692,0,0,1,0
"New Hampshire",1990,1,1111831,36.3345,-33.86874,32.37135,40.95852,45.32692,46.2221,0,0,1,0
"New Hampshire",1992,1,1112766,36.3345,-2.818006,31.39494,32.37135,46.2221,28.22077,0,0,0,0
"New Hampshire",1996,0,1160768,38.85913,-3.030088,45.32692,31.39494,28.22077,46.40165,0,0,0,0
"New Hampshire",1998,0,1185823,49.32418,-39.55918,46.2221,45.32692,46.40165,33.7169,0,0,1,0
"New Hampshire",2002,1,1269089,46.80318,-4.417232,28.22077,46.2221,33.7169,51.58963,0,0,1,0
"New Hampshire",2004,0,1290121,46.80318,-32.4612,46.40165,28.22077,51.58963,36.81102,0,0,0,0
"New Hampshire",2008,0,1315906,50.24228,6.337917,33.7169,46.40165,36.81102,,0,0,0,0
"New Hampshire",2010,1,1316470,54.1269,-23.21723,51.58963,33.7169,,,1,0,1,0
"Rhode Island",1916,0,598000,39.0428,8.817807,,,46.24312,52.16786,,,0,1
"Rhode Island",1922,0,644000,32.77871,8.785376,46.24312,52.93608,41.79825,49.29869,0,1,1,0
"Rhode Island",1924,0,669000,32.77871,-15.83535,52.16786,46.24312,49.29869,49.16847,1,0,0,0
"Rhode Island",1928,0,678000,36.45908,-1.269856,41.79825,52.16786,49.16847,57.12244,0,1,0,0
"Rhode Island",1930,0,686000,50.15852,-1.12738,49.29869,41.79825,57.12244,48.61195,0,0,1,0
"Rhode Island",1934,0,675000,55.07909,14.27249,49.16847,49.29869,48.61195,55.16168,0,0,1,1
"Rhode Island",1936,0,686000,55.07909,4.231307,57.12244,49.16847,55.16168,57.96792,1,0,0,1
"Rhode Island",1940,0,719000,52.96476,10.32336,48.61195,57.12244,57.96792,55.11246,1,1,0,1
"Rhode Island",1942,0,748000,56.72836,15.93584,55.16168,48.61195,55.11246,59.28737,1,1,1,1
"Rhode Island",1948,0,787000,58.5934,18.57474,55.11246,57.96792,54.7786,59.28958,1,1,0,1
"Rhode Island",1952,0,802000,57.59379,9.557202,59.28737,55.11246,59.28958,64.48585,1,1,0,1
"Rhode Island",1954,0,816000,49.04559,18.57916,54.7786,59.28737,64.48585,68.89668,1,1,1,0
"Rhode Island",1958,0,858000,41.74052,28.97169,59.28958,54.7786,68.89668,82.73073,1,1,1,0
"Rhode Island",1960,1,859000,41.74052,37.79336,64.48585,59.28958,82.73073,67.65946,1,1,0,0
"Rhode Island",1964,0,885000,63.62771,65.46146,68.89668,64.48585,67.65946,67.54224,1,1,0,1
"Rhode Island",1966,0,899000,80.87177,35.31892,82.73073,68.89668,67.54224,53.68296,1,1,1,1
"Rhode Island",1970,0,949723,64.04096,36.08149,67.65946,82.73073,53.68296,42.0312,1,1,1,0
"Rhode Island",1972,0,974790,64.04096,7.970375,67.54224,67.65946,42.0312,75.1124,1,1,0,0
"Rhode Island",1976,1,946089,46.81701,-15.70897,53.68296,67.54224,75.1124,48.80214,1,1,0,0
"Rhode Island",1978,0,951816,55.44201,50.22479,42.0312,53.68296,48.80214,72.55257,0,1,1,1
"Rhode Island",1982,0,954170,47.68215,-2.395722,75.1124,42.0312,72.55257,45.40742,1,0,1,0
"Rhode Island",1984,0,961894,47.68215,45.10514,48.80214,75.1124,45.40742,61.8332,0,1,0,0
"Rhode Island",1988,0,996408,48.01736,-9.185156,72.55257,48.80214,61.8332,35.47662,1,0,0,0
"Rhode Island",1990,0,1004649,55.64515,23.6664,45.40742,72.55257,35.47662,63.48222,0,1,1,0
"Rhode Island",1996,1,987858,47.03634,28.43045,35.47662,61.8332,41.14521,78.39228,0,1,0,0
"Rhode Island",2000,0,1048259,59.71293,-15.73132,63.48222,35.47662,78.39228,53.47242,1,0,0,0
"Rhode Island",2002,0,1065995,60.99739,56.81821,41.14521,63.48222,53.47242,73.40449,0,1,1,0
"Rhode Island",2006,0,1063096,59.42343,7.033059,78.39228,41.14521,73.40449,,1,0,1,0
"Rhode Island",2008,0,1055003,59.42343,46.80897,53.47242,78.39228,,,1,1,0,0
"Vermont",1914,0,362000,24.44112,-56.0354,,,23.44274,21.93321,,,1,1
"Vermont",1916,0,360000,24.44112,-50.7947,0,,21.93321,32.06619,0,,0,1
"Vermont",1922,1,354000,23.29088,-35.86762,21.93321,23.44274,26.52047,28.44588,0,0,1,0
"Vermont",1926,0,356000,15.67171,-46.88605,32.06619,21.93321,28.44588,44.84959,0,0,1,0
"Vermont",1934,0,357000,41.07607,-2.671185,44.84959,28.44588,34.32505,33.55059,0,0,1,1
"Vermont",1944,0,314000,44.92388,-31.60944,33.55059,34.32505,25.35315,21.98921,0,0,0,1
"Vermont",1946,1,342000,42.96231,-49.27052,34.18798,33.55059,21.98921,27.67248,0,0,1,1
"Vermont",1950,0,378000,36.92384,-55.99915,25.35315,34.18798,27.67248,33.60444,0,0,1,1
"Vermont",1952,0,375000,36.92384,-44.64466,21.98921,25.35315,33.60444,47.84237,0,0,0,1
"Vermont",1956,0,377000,28.20763,-32.78854,27.67248,21.98921,47.84237,33.06612,0,0,0,0
"Vermont",1958,1,380000,27.80956,-4.310444,33.60444,27.67248,33.06612,46.52084,0,0,1,0
"Vermont",1962,0,393000,41.34852,-33.86776,47.84237,33.60444,46.52084,0,0,0,1,1
"Vermont",1964,0,399000,41.34852,-6.9498,33.06612,47.84237,0,40.20103,0,0,0,1
"Vermont",1968,0,430000,66.29939,-99.85957,46.52084,33.06612,40.20103,49.46978,0,0,0,1
"Vermont",1974,1,473002,36.58718,3.08604,40.20103,0,45.34303,49.75905,0,0,1,0
"Vermont",1976,0,484928,36.58718,-4.65644,49.46978,40.20103,49.75905,47.22535,1,0,0,0
"Vermont",1980,1,511456,42.866,1.168427,45.34303,49.46978,47.22535,63.15664,0,1,0,1
"Vermont",1982,0,519109,38.40915,-3.04161,49.75905,45.34303,63.15664,29.76498,1,0,1,0
"Vermont",1986,0,534066,40.63881,28.65945,47.22535,49.75905,29.76498,54.16201,0,1,1,0
"Vermont",1988,1,549763,40.63881,-38.20483,63.15664,47.22535,54.16201,40.56654,1,0,0,0
"Vermont",1992,0,570115,47.57883,10.81686,29.76498,63.15664,40.56654,72.21542,0,1,0,0
"Vermont",1994,0,578900,46.11375,-9.749516,54.16201,29.76498,72.21542,25.4253,1,0,1,0
"Vermont",1998,0,590579,53.35443,49.76546,40.56654,54.16201,25.4253,70.62707,0,1,1,0
"Vermont",2004,0,619920,50.63471,46.08409,25.4253,72.21542,0,64.32616,0,1,0,0
"Vermont",2006,1,622892,58.93746,-67.63802,70.62707,25.4253,64.32616,,1,0,1,0
"Vermont",2010,0,625741,67.45569,33.41384,0,70.62707,,,0,1,1,0
"Delaware",1918,0,220000,47.77649,-3.343478,49.66608,,49.81106,40.62894,1,,1,1
"Delaware",1922,0,214000,42.07181,.4339635,47.82888,49.66608,40.62894,39.05005,0,1,1,0
"Delaware",1928,0,233000,36.80087,-21.8999,40.62894,49.81106,45.35798,46.15594,0,1,0,0
"Delaware",1930,0,239000,33.79891,-9.13051,39.05005,40.62894,46.15594,52.97604,0,0,1,0
"Delaware",1934,0,250000,48.11206,-7.117355,45.35798,39.05005,52.97604,50.63353,0,0,1,1
"Delaware",1936,0,253000,48.11206,11.58062,46.15594,45.35798,50.63353,44.92193,0,0,0,1
"Delaware",1940,0,269000,54.62411,3.332618,52.97604,46.15594,44.92193,44.84949,1,0,0,1
"Delaware",1942,1,279000,54.71702,-9.246498,50.63353,52.97604,44.84949,50.85384,1,1,1,1
"Delaware",1946,0,299000,54.37576,-10.30102,44.92193,50.63353,50.85384,45.50834,0,1,1,1
"Delaware",1948,0,312000,54.37576,2.576363,44.84949,44.92193,45.50834,56.94341,0,0,0,1
"Delaware",1952,0,341000,48.76072,-8.983335,50.85384,44.84949,56.94341,46.72089,1,0,0,1
"Delaware",1954,0,368000,47.87531,13.88682,45.50834,50.85384,46.72089,49.28602,0,1,1,0
"Delaware",1958,0,433000,44.62155,-6.558228,56.94341,45.50834,49.28602,48.25538,1,0,1,0
"Delaware",1960,0,446000,44.62155,-1.427957,46.72089,56.94341,48.25538,40.88166,0,1,0,0
"Delaware",1966,0,516000,60.94973,-18.23668,48.25538,49.28602,40.10183,50.47514,0,0,1,1
"Delaware",1970,1,548104,41.60808,-18.73091,40.88166,48.25538,50.47514,43.60733,0,0,1,0
"Delaware",1972,0,572913,41.60808,1.375812,40.10183,40.88166,43.60733,57.95572,0,0,0,0
"Delaware",1976,0,590166,39.18332,-12.20631,50.47514,40.10183,57.95572,44.20454,1,0,0,0
"Delaware",1978,0,594776,51.98402,16.93754,43.60733,50.47514,44.20454,60.11052,0,1,1,1
"Delaware",1982,0,599148,44.87415,-10.96774,57.95572,43.60733,60.11052,37.93867,1,0,1,0
"Delaware",1984,0,611565,44.87415,20.22104,44.20454,57.95572,37.93867,62.67929,0,1,0,0
"Delaware",1988,0,647622,39.93212,-24.12267,60.11052,44.20454,62.67929,42.48325,1,0,0,0
"Delaware",1990,0,669063,43.47776,26.84621,37.93867,60.11052,42.48325,60.04006,0,1,1,0
"Delaware",1994,0,708416,43.50665,-13.33173,62.67929,37.93867,60.04006,55.52188,1,0,1,0
"Delaware",1996,0,727090,43.50665,21.90819,42.48325,62.67929,55.52188,58.21991,0,1,0,0
"Delaware",2000,0,783559,51.77547,11.8266,60.04006,42.48325,58.21991,67.1262,1,0,0,0
"Delaware",2002,0,806169,54.96212,17.41608,55.52188,60.04006,67.1262,64.68652,1,1,1,0
"Delaware",2006,0,859268,53.34684,39.68256,58.21991,55.52188,64.68652,,1,1,1,0
"New Jersey",1916,0,2918000,41.19281,-17.08916,,,43.23384,54.8714,,,0,1
"New Jersey",1918,1,3043000,42.67801,-7.10867,38.8974,,54.8714,33.6699,0,,1,1
"New Jersey",1922,0,3380000,28.42038,10.82449,43.23384,38.8974,33.6699,41.84048,0,0,1,0
"New Jersey",1928,0,3968000,27.41449,-16.02672,33.6699,54.8714,39,57.9023,0,1,0,0
"New Jersey",1936,0,4084000,49.4872,10.56293,57.9023,39,44.11093,45.80937,1,0,0,1
"New Jersey",1942,0,4297000,51.48396,-7.282683,44.11093,54.8984,40.11674,47.29785,0,1,1,1
"New Jersey",1946,0,4492000,50.30521,-18.38489,45.80937,44.11093,47.29785,43.61889,0,0,1,1
"New Jersey",1948,1,4774000,50.30521,-2.69033,40.11674,45.80937,43.61889,48.46825,0,0,0,1
"New Jersey",1952,0,5125000,45.93125,-11.88815,47.29785,40.11674,48.46825,51.3909,0,0,0,1
"New Jersey",1954,1,5360000,42.00452,-.1903355,43.61889,47.29785,51.3909,43.21114,0,0,1,0
"New Jersey",1958,1,5890000,34.22827,4.493898,48.46825,43.61889,43.21114,61.91063,0,0,1,0
"New Jersey",1960,0,6067000,34.22827,-12.47664,51.3909,48.46825,61.91063,36.98434,1,0,0,0
"New Jersey",1964,0,6660000,49.95887,24.58817,43.21114,51.3909,36.98434,54.01574,0,1,0,1
"New Jersey",1966,0,6851000,65.60667,-23.03584,61.91063,43.21114,54.01574,34.51308,1,0,1,1
"New Jersey",1970,0,7171112,43.96634,11.85973,36.98434,61.91063,34.51308,60.66053,0,1,1,0
"New Jersey",1972,0,7335042,43.96634,-27.94796,54.01574,36.98434,60.66053,55.3232,1,0,0,0
"New Jersey",1976,0,7339745,36.77433,22.61075,34.51308,54.01574,55.3232,50.93788,0,1,0,0
"New Jersey",1978,1,7350804,47.92391,12.19709,60.66053,34.51308,50.93788,64.15864,1,0,1,1
"New Jersey",1984,0,7515473,38.55799,29.27682,50.93788,55.3232,53.5509,50.44277,1,1,0,0
"New Jersey",1988,0,7712333,39.19755,8.366755,64.15864,50.93788,50.44277,50.2941,1,1,0,0
"New Jersey",1990,0,7757158,42.59814,3.040359,53.5509,64.15864,50.2941,52.67934,1,1,1,0
"New Jersey",1994,0,7918796,42.95396,3.272343,50.44277,53.5509,52.67934,50.11295,1,1,1,0
"New Jersey",1996,1,8009624,42.95396,10.1075,50.2941,50.44277,50.11295,53.8763,1,1,0,0
"New Jersey",2002,1,8552643,56.12561,9.928695,50.11295,52.67934,53.36914,56.03012,1,1,1,0
"New Jersey",2006,0,8661679,52.92341,9.024965,53.8763,50.11295,56.03012,,1,1,1,0
"New Jersey",2008,0,8711090,52.92341,14.07612,53.36914,53.8763,,,1,1,0,0
"New York",1914,1,9585000,41.27475,-4.982242,,,39.21417,32.90273,,,1,1
"New York",1916,1,9848000,41.27475,-15.10372,42.05677,,32.90273,52.59804,0,,0,1
"New York",1920,0,282000,44.50705,-19.46044,39.21417,42.05677,52.59804,46.48407,0,0,0,1
"New York",1922,0,589000,26.95306,11.5872,32.90273,39.21417,46.48407,49.07639,0,0,1,0
"New York",1926,0,1257000,29.13033,4.088074,52.59804,32.90273,49.07639,55.77391,1,0,1,0
"New York",1928,0,1599000,29.13033,1.183403,46.48407,52.59804,55.77391,55.34012,1,1,0,0
"New York",1932,0,3001000,47.43623,17.21325,49.07639,46.48407,55.34012,54.4839,1,1,0,0
"New York",1938,0,3512000,58.84538,9.56597,55.34012,55.77391,53.26058,53.05859,1,1,1,1
"New York",1940,0,3456000,58.84538,6.601757,54.4839,55.34012,53.05859,47.41906,1,1,0,1
"New York",1946,1,3398000,52.30882,-5.161872,53.05859,53.26058,50.34641,36.12668,1,1,1,1
"New York",1950,0,14830000,45.00745,5.067703,47.41906,53.05859,36.12668,46.71793,0,1,1,1
"New York",1952,0,15192000,45.00745,-19.08523,50.34641,47.41906,46.71793,48.37487,1,0,0,1
"New York",1956,1,16112000,43.55354,-6.56414,36.12668,50.34641,48.37487,40.14161,0,1,0,0
"New York",1958,1,16601000,38.7918,-2.374014,46.71793,36.12668,40.14161,53.46719,0,0,1,0
"New York",1962,0,17301000,52.53296,-17.23784,48.37487,46.71793,53.46719,32.67745,0,0,1,1
"New York",1968,0,18051000,68.55936,-17.00315,53.46719,40.14161,36.77098,38.2249,1,0,0,1
"New York",1970,1,18241391,49.75607,-2.164498,32.67745,53.46719,38.2249,54.15707,0,1,1,0
"New York",1974,0,18049775,40.29625,-7.095963,36.77098,32.67745,54.15707,43.53613,0,0,1,0
"New York",1976,0,17940541,40.29625,9.271893,38.2249,36.77098,43.53613,65.06602,0,0,0,0
"New York",1980,1,17558072,51.87434,-1.346505,54.15707,38.2249,65.06602,38.42297,1,0,0,1
"New York",1982,0,17589738,43.92128,30.90858,43.53613,54.15707,38.42297,67.01974,0,1,1,0
"New York",1986,0,17833419,45.83071,-14.60427,65.06602,43.53613,67.01974,47.78268,1,0,1,0
"New York",1988,0,17941309,45.83071,35.96875,38.42297,65.06602,47.78268,55.19836,0,1,0,0
"New York",1992,0,18082032,51.61958,-1.250908,67.01974,38.42297,55.19836,54.61724,1,0,0,0
"New York",1994,0,18156652,49.72552,13.72863,47.78268,67.01974,54.61724,55.27137,0,1,1,0
"New York",1998,0,18159175,59.4696,10.53516,55.19836,47.78268,55.27137,71.16087,1,0,1,0
"New York",2000,1,18977026,59.4696,12.26548,54.61724,55.19836,71.16087,67.00206,1,1,0,0
"New York",2004,0,19171567,60.21251,46.91651,55.27137,54.61724,67.00206,66.30444,1,1,0,0
"New York",2010,0,19378102,62.88429,34.0989,67.00206,71.16087,,,1,1,1,0
"Pennsylvania",1914,0,8276000,32.48955,-22.79015,,,37.24683,27.18844,,,1,1
"Pennsylvania",1922,0,8982000,27.19629,-26.44547,27.18844,37.24683,43.11031,33.99734,0,0,1,0
"Pennsylvania",1928,0,9802000,19.07905,-30.38093,43.11031,29.59046,43.17704,50.77703,0,0,0,0
"Pennsylvania",1932,0,9764000,33.88504,-6.284791,33.99734,43.11031,50.77703,44.41561,0,0,0,0
"Pennsylvania",1934,0,9795000,45.32591,4.320601,43.17704,33.99734,44.41561,51.78808,0,0,1,1
"Pennsylvania",1938,0,9952000,56.88108,-10.28745,50.77703,43.17704,51.78808,49.98764,1,0,1,1
"Pennsylvania",1940,0,9896000,56.88108,4.425195,44.41561,50.77703,49.98764,39.81438,0,1,0,1
"Pennsylvania",1944,0,9214000,53.22842,.6377876,51.78808,44.41561,39.81438,47.73871,1,0,0,1
"Pennsylvania",1946,0,9866000,51.13532,-19.44205,49.98764,51.78808,47.73871,47.97922,1,1,1,1
